,timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
338,2024-04-22 19:04:00,Новейшие тенденции в IT,"Ничего интересного, скучно и непонятно.","Полчаса спорил с собой, стоит ли продолжать смотреть этот бред.","Меньше словесных выкладок, больше конкретики и практики.","Хотелось бы изучать что-то, что действительно пригодится в жизни, а не этот бред.",0,1,0.0
339,2024-04-20 19:49:43,Основы программирования,Ясное объяснение базовых структур данных было очень полезным для меня.,Базовые структуры данных были объяснены без сложностей.,Добавление большего количества реальных примеров использования структур данных сделало бы вебинар ещё полезнее.,Я нашёл принципы проектирования алгоритмов очень полезными для своего обучения.,1,0,1.0
340,2024-04-03 14:26:09,Продвинутые техники программирования,Введение в машинное обучение было представлено очень ясно и понятно.,Материал был представлен очень понятно.,Больше времени следует уделять вопросам безопасности.,Технологии блокчейн и их применение были интересными.,1,1,1.0
341,2024-04-18 20:00:00,новейшие тенденции,"Мне очень понравился вебинар о применении технологии распределенных систем в различных отраслях. Преподаватель представил материал очень интересно и доступно, что позволило мне лучше понять суть этой технологии.","Были моменты, когда некоторые термины и понятия в теме распределенных систем были непонятны на первый взгляд. Например, понимание работы алгоритмов консенсуса вызывало затруднения.",Было бы полезно организовать онлайн форум для обсуждения темы и взаимодействия с другими участниками. Это позволит участникам обмениваться опытом и задавать вопросы преподавателю и другим участникам.,Хотелось бы углубить знания о принципах работы механизмов консенсуса в блокчейне и их влиянии на безопасность системы.,1,2,1.0
342,2024-04-20 15:00:00,основы программирования,"Ясное и понятное представление материала на вебинаре ""основы программирования"" помогло мне лучше усвоить представленные концепции.","Предоставление более подробных материалов для самостоятельного изучения на вебинаре ""основы программирования"" помогло бы мне лучше понять тему и углубить свои знания.","На будущих занятиях по основам программирования было бы полезно предложить больше практических задач по алгоритмам, чтобы студенты могли закрепить полученные знания на практике.","На будущих вебинарах по основам программирования я бы хотел узнать больше о том, как применять изученные алгоритмы и структуры данных на практике в различных областях программирования.",1,0,1.0
343,2024-03-27 18:37:35,Основы программирования,Лекция о SQL была очень интересной и познавательной.,Затруднений не возникло.,Улучшить графическую составляющую презентации.,Изучение NoSQL баз данных представляется интересным направлением.,1,0,1.0
344,2024-04-19 23:02:32,Основы программирования,Интересный разбор деталей JIT компиляции в Java.,"Да, я получил много полезной информации.",Предложение дополнительных материалов было бы полезным дополнением.,Я хотел бы побольше узнать о механизмах управления памятью.,1,0,1.0
345,2024-04-21 22:11:40,Основы программирования,"Мне понравилось, как ясно и тщательно были объяснены понятия переменных, типов данных и операторов в Java.",Мне не понадобилось задавать дополнительные вопросы.,Больше практических задач помогут лучше усвоить изучаемые концепции.,Подробное изучение Java для Android будет полезным для моей деятельности.,1,0,1.0
346,2024-04-03 08:44:15,Основы программирования,"Мне понравилось, как ясно и тщательно были объяснены понятия переменных, типов данных и операторов в Java.",Все было понятно и доступно.,Больше практических задач помогут лучше усвоить изучаемые концепции.,Подробное изучение Java для Android будет полезным для моей деятельности.,1,0,1.0
347,2024-04-04 20:12:32,Основы программирования,"Изложение основ Python было очень хорошим, особенно часть о циклах и условиях.","Мне нечего добавить к материалу, он был очень информативным и понятным.",Предложение больше дополнительных материалов для самостоятельного изучения после вебинара было бы полезным дополнением.,Разбор работы с API в Python дал мне много новой информации и идей.,1,0,1.0
348,2024-04-13 15:23:44,Продвинутые техники программирования,"Преподаватель был слишком фокусирован на непрофессиональных деталях, таких как раздача печенек.","Подход преподавателя к вебинару был неэффективным из-за его фокуса на печеньках, что отвлекло участников.",Предложение добавить виртуальный чай в следующий раз выглядит как попытка скрыть отсутствие реального обучения на вебинаре.,Я нашёл принципы проектирования алгоритмов очень полезными для своего обучения.,0,1,0.0
349,2024-04-07 20:00:00,Алгоритмы программирования,Рассмотрение примеров кода помогло мне улучшить свои навыки программирования и углубить понимание темы.,"Примеры кода были представлены очень четко и понятно, и я без труда смог понять их суть.",Вебинар: Хотелось бы получить дополнительные материалы или ссылки для более подробного изучения представленной темы.,Базы данных и SQL представляют для меня интересную и важную тему для дальнейшего изучения и применения в практике.,1,0,1.0
350,2024-04-07 07:10:58,Продвинутые техники программирования,"Преподаватель был слишком фокусирован на непрофессиональных деталях, таких как раздача печенек.","Чрезмерное внимание преподавателя к печенькам привело к тому, что участники вебинара были слишком заняты этим, а не учебным материалом.",Предложение добавить виртуальный чай в следующий раз выглядит как попытка скрыть отсутствие реального обучения на вебинаре.,Я нашёл принципы проектирования алгоритмов очень полезными для своего обучения.,0,1,0.0
351,2024-04-09 22:15:03,Продвинутые техники программирования,Вебинар о проектировании ПО оказался очень полезным.,"Да, я тоже столкнулся с трудностями при работе с примерами рефакторинга.",Рабочие листы помогут лучше усвоить материал.,Принципы проектирования интерфейсов были объяснены очень понятно и доступно.,1,1,1.0
352,2024-04-15 06:23:49,Основы программирования,"Материал был изложен понятно, и ясно структурирован.","Я считаю, что циклы for и while могли бы быть объяснены более подробно.","Я согласен, что добавление видеоматериалов могло бы значительно улучшить опыт обучения.",Я хотел бы узнать больше о функциональном программировании на будущих вебинарах.,1,2,1.0
353,2024-04-09 02:28:52,Продвинутые техники программирования,Применение шаблонов проектирования в реальных проектах было особенно интересным и полезным для понимания.,"Абстрактная фабрика была одной из сложных тем, но благодаря вебинару стала более понятной.","Хотелось бы видеть больше практических примеров для каждого шаблона проектирования, чтобы лучше понять их применение.",Применение шаблонов проектирования в микросервисах.,1,1,1.0
354,2024-04-23 13:44:27,Знакомство с языком Python,Интерактивные примеры были очень полезны для понимания материала.,"Иногда я сталкивался с терминами, которые мне было трудно понять, но в целом преподаватель старался разъяснить их.","Думаю, добавление большего количества задач или кейсов для самостоятельной работы поможет лучше закрепить материал.",Я хотел бы изучить более подробно методы оптимизации кода на следующем вебинаре.,0,2,0.0
355,2024-04-19 15:23:17,Продвинутые техники программирования,Изучение темы REST API и их интеграции с веб-приложениями оказалось для меня очень полезным.,"Я считаю, что концепции OAuth 2.0 были одними из самых сложных аспектов вебинара.",Больше интерактивных примеров и подробных руководств по реализации API было бы очень полезно.,Подробности реализации микросервисов на Spring Boot и Docker оказались очень интересными для меня.,1,1,1.0
356,2024-04-25 03:46:30,Новейшие тенденции в IT,Разбор технологий блокчейна и их применение в финансовой отрасли были очень информативными и интересными.,Понимание концепций смарт-контрактов может вызвать затруднения из-за их сложности.,"В планах провести отдельные вебинары, посвященные смарт-контрактам, с акцентом на практические аспекты их использования.",Исследование и тестирование смарт-контрактов на различных платформах.,1,2,1.0
357,2024-04-20 10:40:39,Продвинутые техники программирования,Мне понравился разбор применения шаблонов проектирования в Java.,"Сложность темы абстрактных фабрик была ожидаема, но информация была представлена доступно.",Поддерживаю идею организации вебинаров с более подробными примерами.,Мне понравился разбор применения шаблонов проектирования на реальных примерах.,1,1,1.0
358,2024-03-28 23:53:51,Основы программирования,"Я был очень скучал на лекции, когда мы говорили об ошибках в коде.","Да, каждый раз, когда говорили об ошибках в коде.","Может, стоит рассмотреть другие способы преподнесения материала в следующем вебинаре?",Почему бы и нет? Кинопоказ вместо вебинара звучит заманчиво.,0,0,0.0
359,2024-04-15 06:41:09,Продвинутые техники программирования,Весь материал был представлен доступно и понятно.,"Почему я должен учить Python, если я изучаю Frontend?","Я изучаю Frontend разработку и считаю, что мне не нужно учить Python.",Я бы предпочел изучать JavaScript вместо Python.,1,1,0.0
360,2024-04-21 12:00:00,новейшие тенденции,вебинар был чрезвычайно информативным и познавательным,материал представлен очень доступно и понятно,провести более глубокое рассмотрение некоторых аспектов в следующем вебинаре,изучение последних трендов в области криптовалют и их влияние на рынок,1,2,1.0
361,2024-04-06 11:59:04,ChatGPT для обучения,Пользование GPT чатом,Информация была представлена в понятной форме,Все было отлично,Изучение различных видов искусственного интеллекта,1,0,1.0
362,2024-04-08 15:12:25,Новейшие тенденции в IT,Дискуссия о последних тенденциях в мобильной разработке и их влиянии на индустрию была весьма интересной и познавательной.,Нет.,Добавить больше примеров успешных мобильных приложений и рассмотреть их стратегии монетизации более подробно.,Разработка кроссплатформенных мобильных приложений.,1,2,1.0
363,2024-04-21 11:15:26,Основы программирования,"Ясное изложение основ Python, особенно циклов и условий, сделало вебинар очень интересным.","Мне нечего добавить к материалу, он был очень информативным и понятным.",Добавление больше материалов для самостоятельного изучения после вебинара сделало бы его еще полезнее.,Разбор работы с API в Python дал мне много новой информации и идей.,1,0,1.0
364,2024-04-11 00:11:06,ChatGPT для обучения,"Меня заинтересовало, что на вебинаре обсуждался инструмент Colab, который активно используется аналитиками.","Да, были некоторые проблемы с объяснением некоторых аспектов.","Предлагаю подробнее рассмотреть темы, связанные с Colab, такие как его описание, функции и использование.","Интересно было бы изучить более детально библиотеки, доступные для использования в Colab.",1,1,0.0
365,2024-04-19 12:02:00,основы программирования,"Преподаватель Ильнар Шафигуллин заслуживает больших похвал! Он отлично проводил вебинар ""основы программирования"" и делал материал доступным и понятным для всех участников.","Некоторые аспекты управления состоянием интерфейсов оказались сложными для понимания. Например, сложности возникали при объяснении принципов работы с состояниями объектов в приложениях.","Рекомендую добавить больше примеров из реальной жизни и практических кейсов по управлению состоянием интерфейсов. Это поможет участникам лучше понять, как применять полученные знания на практике.","Предлагаю организовать дополнительные практические занятия, где студенты смогут практиковаться и применять новые навыки на практике.",1,2,1.0
366,2024-04-02 09:55:27,Основы программирования,"Лектор хорошо иллюстрировал сложные концепции на простых примерах, что сделало процесс обучения легче.","Были моменты, когда я чувствовал себя немного запутанным из-за сложности темы, но с поддержкой преподавателя я смог разобраться.","Было бы полезно, если бы преподаватель уделял больше внимания практическим примерам и реальным кейсам из индустрии.",Я хотел бы изучить более подробно методы оптимизации кода на следующем вебинаре.,0,2,0.0
367,2024-04-18 20:00:00,новейшие тенденции,"Очень интересный вебинар о применении технологии распределенных систем в различных отраслях. Материал был представлен очень интересно и понятно, что позволило мне лучше понять суть этой технологии.","Были моменты, когда некоторые термины и понятия в теме распределенных систем были непонятны на первый взгляд. Например, понимание работы алгоритмов консенсуса вызывало затруднения.",Было бы полезно организовать онлайн форум для обсуждения темы и взаимодействия с другими участниками. Это позволит участникам обмениваться опытом и задавать вопросы преподавателю и другим участникам.,Хотелось бы углубить знания о принципах работы механизмов консенсуса в блокчейне и их влиянии на безопасность системы.,1,2,1.0
368,2024-04-06 08:48:12,Продвинутые техники программирования,Изучение темы REST API и их интеграции с веб-приложениями оказалось для меня очень полезным.,"Да, концепции OAuth 2.0 были довольно сложными для меня.",Больше интерактивных примеров и подробных руководств по реализации API было бы очень полезно.,Изучение подробностей реализации микросервисов на Spring Boot и Docker дало мне много ценной информации.,1,1,1.0
369,2024-04-10 20:55:37,Новейшие тенденции в IT,Мне понравилась презентация о кибербезопасности.,"Мне понравилась презентация, я получил много новой информации.",Я поддерживаю идею проведения серии вебинаров по защите данных.,Новые технологии в области защиты персональных данных - это интересная тема.,1,1,1.0
370,2024-04-19 12:00:00,основы программирования,"Вебинар ""основы программирования"" оказался очень информативным и полезным. Мне понравилось изучать создание пользовательских интерфейсов, и я получил много новых знаний и навыков в этой области.","Моменты, связанные с управлением состоянием интерфейсов, вызвали затруднения в понимании материала. Например, сложности возникали при работе с состояниями объектов в программировании.",Рекомендую добавить больше практических примеров и заданий по управлению состоянием интерфейсов для лучшего усвоения материала. Это поможет участникам лучше понять принципы работы с состояниями объектов в программировании.,Хотелось бы углубить знания о принципах работы управления состоянием интерфейсов и их применении в разработке веб-приложений. Было бы интересно узнать больше о способах работы с состояниями объектов и их изменении в процессе выполнения программы.,1,0,1.0
371,2024-04-21 05:41:11,Основы программирования,Получил удовольствие от участия в вебинаре.,Ничего не вызвало затруднений.,Как научить котика танцевать?,Неплохие вопросы.,0,2,0.0
372,2024-03-29 11:13:58,Основы программирования,Изложение базовых структур данных было ясным и понятным.,"Мне было легко понять базовые структуры данных, они были объяснены чётко и понятно.",Я бы предложил добавить больше практических примеров использования базовых структур данных.,"Принципы проектирования алгоритмов, рассмотренные на вебинаре, стали для меня очень интересными.",1,0,1.0
373,2024-04-07 15:17:21,Основы программирования,Интересный разбор деталей JIT компиляции в Java.,Разбор процессов компиляции и интерпретации был очень полезным.,Я бы хотел получить больше материалов для самостоятельного изучения.,Углубленное изучение механизмов управления памятью было бы полезным.,1,0,1.0
374,2024-04-18 15:45:00,новейшие тенденции,информативный и понятный вебинар о влиянии блокчейн на безопасность данных,некоторые термины были непонятны на начальном этапе,организовать онлайн курсы для практического освоения навыков в области блокчейн и криптографии,анализ примеров успешной реализации смарт контрактов в различных отраслях,1,2,1.0
375,2024-04-16 02:37:44,Продвинутые техники программирования,Оптимизация SQL запросов оказалась очень полезной для моей работы.,"Я не согласен с этим, я думаю, что материал был представлен доступно.",Предоставление доступа к онлайн тренажеру - отличная идея.,Подробное понимание индексов и их влияния на производительность - это важная тема.,1,1,1.0
376,2024-04-19 17:45:00,новейшие тенденции,"Мне понравилось, как преподаватель подробно рассказал о новейших тенденциях в визуализации данных и их применении.","Некоторые примеры, представленные на вебинаре ""новейшие тенденции"", были сложны для понимания.","Для лучшего усвоения материала мне хотелось бы больше практики по визуализации данных на вебинаре ""новейшие тенденции"".",На следующих занятиях я бы хотел узнать больше о применении визуализации данных в моей сфере деятельности.,1,2,1.0
377,2024-04-18 15:45:00,новейшие тенденции,"отличный вебинар, который помог понять сложные концепции блокчейн и их влияние на безопасность данных",сложные концепции иногда вызывали затруднения в усвоении,организовать дополнительные вебинары с приглашенными экспертами для обсуждения актуальных проблем в области блокчейн и безопасности данных,изучение механизмов шифрования данных в контексте блокчейн технологии,1,2,1.0
378,2024-04-09 17:30:00,Продвинутые техники программирования,"Я получил много новых идей и полезной информации на Программа  сессии по оптимизации производительности веб-приложений, что поможет мне в развитии в карьере.","Да, концепции работы с большими данными и их хранения оказались для меня сложными, но благодаря преподавателю я смог разобраться в них и углубить свои знания.",Углубление темы работы с большими данными и их хранения в отдельном вебинаре позволит студентам более детально разобраться в этих вопросах и применить полученные знания на практике.,Хотелось бы узнать больше о функциональном программировании для дальнейшего улучшения своих навыков программирования.,1,1,1.0
379,2024-04-09 07:49:47,Основы программирования,Ясное объяснение базовых структур данных помогло мне лучше понять основы программирования.,Базовые структуры данных были объяснены без сложностей.,Больше реальных примеров использования базовых структур данных помогли бы мне лучше усвоить материал.,Я нашёл принципы проектирования алгоритмов очень полезными для своего обучения.,1,0,1.0
380,2024-04-10 18:20:00,Продвинутые техники программирования,Отзыв о программе Глубокое погружение в архитектуру REST и SOAP интерфейсов было крайне полезным для моих проектов.,Отзыв о программе Нет.,Отзыв о программе Организовать практические лаборатории по созданию и тестированию API.,Отзыв о программе Безопасность API и использование OAuth 2.0.,1,1,1.0
381,2024-04-21 04:38:03,Основы программирования,Объяснения условных операторов и циклов в C++ были ясными и простыми для понимания.,Объяснения были прямолинейными и понятными.,Добавление сложных задач сделает вебинар более интересным и полезным.,Я хотел бы узнать больше о создании игр на C++.,1,0,1.0
382,2024-04-24 06:11:03,Новейшие тенденции в IT,"Я был впечатлен качеством обучения на вебинаре по основам программирования, особенно хорош был раздел об объектно-ориентированном программировании.","Нет, всё было понятно и доступно.","Думаю, стоит добавить больше интерактивных лабораторных работ для лучшего понимания материала.",Интересно было бы узнать больше о Python для научных вычислений.,1,0,1.0
383,2024-04-19 17:43:31,Основы программирования,Интересная и необычная тема вебинара.,Все было понятно.,Как научить котика танцевать?,Неплохие вопросы.,0,2,0.0
384,2024-04-08 09:54:28,Основы программирования,"Изложение основ Python было очень хорошим, особенно часть о циклах и условиях.","Материал был представлен очень понятно и структурированно, мне нечего добавить.",Добавление больше материалов для самостоятельного изучения после вебинара сделало бы его еще полезнее.,Изучение работы с API в Python было очень интересным и познавательным.,1,0,1.0
385,2024-04-22 19:02:00,Новейшие тенденции в IT,"На вебинаре Апельсин молчал, я слушал кино.","На вебинаре Апельсин рассказывал, я размышлял о салями.","На вебинаре Апельсин тратил время, а я мечтал о шоколаде.",На следующем занятии я бы хотел поговорить с Апельсином о вкусных закусках.,0,2,0.0
386,2024-04-15 20:04:11,Управление персоналом,Не было никаких проблем,Составление расписания не было оптимальным из-за пересечения с другими обучающими мероприятиями,Не было никаких проблем,Чат со студентами был полезным для общения и вопросов,1,1,0.0
387,2024-04-19 14:30:00,новейшие тенденции,познавательная информация о новейших трендах в блокчейн,материал был немного сложным для понимания на начальном этапе,добавить больше иллюстраций и графиков для визуализации сложных концепций,анализ применения смарт контрактов в области медицины и здравоохранения,1,2,1.0
388,2024-04-01 05:59:04,Основы программирования,Структура материала была хорошо продумана и легко усваивалась.,"Я считаю, что циклы for и while могли бы быть объяснены более подробно.",Видеоматериалы для самостоятельного изучения были бы отличным дополнением к вебинару.,Интересно было бы углубиться в функциональное программирование на следующем вебинаре.,1,2,1.0
389,2024-04-10 16:00:00,Основы программирования,"На сессии было отличное объяснение темы циклов и условий, что помогло мне лучше понять эту тему Вебинара.","У меня возникли сложности с пониманием темы рекурсии, но благодаря преподавателям я смог их разрешить и лучше понять эту тему.","Я считаю, что добавление большего количества практических заданий в вебинар по каждой теме будет очень полезным для студентов, так как поможет им лучше усвоить материал и глубже понять его.",Оптимизация запросов SQL и анализ производительности баз данных станут для меня следующим шагом в обучении после вебинара.,1,0,1.0
390,2024-04-12 04:04:39,Новейшие тенденции в IT,Дискуссия о будущем облачных вычислений и их влиянии на IT-индустрию была очень интересной и содержательной.,"Я пропустил обсуждение, поэтому не могу сказать ничего конкретного.","Добавление большего количества кейс-стади от компаний, успешно интегрировавших облачные решения, сделало бы вебинар еще более познавательным.",Стратегии миграции предприятий в облако.,1,2,1.0
391,2024-04-22 19:04:00,Новейшие тенденции в IT,"Мне понравилось, как этот вебинар смог убить мою мотивацию за 5 минут.",Моменты затруднения? Каждая секунда этого вебинара.,"Программа нуждается в том, чтобы быть забытой.","На будущих занятиях я хотел бы видеть что-то, что не заставит меня задуматься о бегстве.",0,1,0.0
392,2024-04-24 18:00:00,Новейшие тенденции в IT,"Очень позитивное впечатление от изучения применения технологий виртуальной реальности в образовании, преподаватель подачи материала был вдохновляющим.","Тема разработки контента для VR была представлена довольно поверхностно, хотелось бы больше информации и практических примеров от преподавателя.","Поддерживаю предложение организации практических занятий по созданию VR-контента, это поможет лучше понять тему и применить полученные знания на практике под руководством преподавателя.","Жду с нетерпением изучения разработки приложений для виртуальной реальности на будущих занятиях, это очень интересная и перспективная тема.",1,2,1.0
393,2024-04-07 20:00:00,Основы программирования,Примеры кода на вебинаре были Вебинар  очень информативны и понятны для всех уровней.,Я без труда освоил все представленные примеры кода в Вебинар .,Предложение дополнительных ресурсов для изучения помогло бы улучшить качество обучения.,Хотелось бы узнать больше о базах данных и SQL для продолжения своего обучения.,1,0,1.0
394,2024-04-09 11:00:14,IT технологии будущего,Применение ИИ в финансовом секторе обсуждалось очень информативно и интересно.,В ходе вебинара возникли некоторые вопросы по спецификациям алгоритмов машинного обучения.,Было бы полезно провести дополнительные практические занятия по настройке и применению ИИ в финансовом секторе.,"Этические вопросы, связанные с использованием ИИ в финансах, требуют особого внимания и обсуждения.",1,2,1.0
395,2024-04-19 12:00:00,основы программирования,Отличный вебинар! Я получил много полезной информации о создании пользовательских интерфейсов и практических применениях программирования. Преподаватель представил материал очень доступно и понятно.,"Некоторые аспекты управления состоянием интерфейсов оказались сложными для усвоения. Например, сложности возникали при понимании механизмов изменения состояний объектов в процессе работы программы.",Рекомендую провести дополнительные практические занятия для лучшего понимания управления состоянием интерфейсов. Это поможет участникам научиться применять полученные знания на практике и развить свои навыки.,Хотелось бы углубить знания о принципах работы управления состоянием интерфейсов и их влиянии на разработку программного обеспечения.,1,0,1.0
396,2024-04-08 07:41:23,ChatGPT для обучения,Пользование GPT чатом,Информация была представлена в понятной форме,Все было отлично,Изучение других видов искусственного интеллекта,1,0,1.0
397,2024-04-20 09:45:00,основы программирования,"Я оценил профессионализм преподавателя на вебинаре ""основы программирования"".","Были моменты, когда материал о методах написания чистого кода казался мне слишком сложным.","Предложение организовать регулярные сессии код ревью на вебинаре ""основы программирования"" выглядит многообещающим.","На будущих вебинарах я бы хотел узнать больше о том, как применять принципы разработки программного обеспечения на практике.",1,0,1.0
398,2024-04-13 21:54:12,Основы программирования,"Ясное изложение основ Python, особенно циклов и условий, сделало вебинар очень интересным.","Мне нечего добавить к материалу, он был очень информативным и понятным.",Добавление больше материалов для самостоятельного изучения после вебинара сделало бы его еще полезнее.,Изучение работы с API в Python было очень интересным и познавательным.,1,0,1.0
399,2024-04-20 05:45:55,Продвинутые техники программирования,Введение в машинное обучение было представлено очень ясно и понятно.,Материал был представлен очень понятно.,Больше времени следует уделять вопросам безопасности.,Технологии блокчейн и их применение были интересными.,1,1,1.0
